iter	Passed	Remaining
423	2102	5336
424	2107	5331
425	2112	5325
426	2117	5321
427	2122	5315
428	2126	5309
429	2131	5303
430	2136	5299
431	2141	5294
432	2146	5289
433	2151	5284
434	2155	5278
435	2160	5272
436	2165	5267
437	2170	5261
438	2174	5255
439	2179	5251
440	2184	5246
441	2189	5241
442	2195	5237
443	2200	5234
444	2205	5228
445	2209	5222
446	2214	5217
447	2219	5212
448	2224	5208
449	2230	5203
450	2234	5197
451	2239	5191
452	2244	5186
453	2248	5181
454	2252	5174
455	2258	5171
456	2263	5166
457	2268	5160
458	2273	5155
459	2278	5150
460	2282	5145
461	2287	5138
462	2292	5133
463	2298	5131
464	2302	5125
465	2308	5121
466	2313	5117
467	2318	5112
468	2323	5107
469	2328	5103
470	2332	5096
471	2338	5092
472	2343	5087
473	2347	5082
474	2352	5076
475	2357	5071
476	2362	5065
477	2366	5059
478	2370	5053
479	2375	5048
480	2380	5043
481	2385	5039
482	2390	5034
483	2395	5029
484	2400	5022
485	2405	5017
486	2409	5012
487	2414	5006
488	2419	5002
489	2424	4998
490	2429	4993
491	2434	4988
492	2439	4983
493	2444	4977
494	2448	4971
495	2453	4966
496	2458	4962
497	2463	4956
498	2468	4950
499	2473	4946
500	2477	4940
501	2482	4935
502	2487	4931
503	2492	4925
504	2497	4920
505	2502	4915
506	2507	4911
507	2512	4906
508	2518	4902
509	2522	4896
510	2527	4891
511	2532	4886
512	2537	4881
513	2541	4876
514	2546	4870
515	2551	4866
516	2556	4860
517	2560	4853
518	2565	4849
519	2569	4843
520	2573	4836
521	2579	4831
522	2584	4827
523	2589	4822
524	2594	4818
525	2599	4813
526	2604	4809
527	2609	4803
528	2614	4799
529	2619	4794
530	2624	4789
531	2629	4785
532	2634	4780
533	2639	4774
534	2644	4769
535	2649	4764
536	2653	4758
537	2659	4755
538	2664	4751
539	2669	4746
540	2674	4741
541	2679	4736
542	2684	4730
543	2688	4724
544	2693	4719
545	2698	4715
546	2703	4710
547	2709	4706
548	2714	4701
549	2718	4695
550	2723	4690
551	2728	4685
552	2732	4679
553	2737	4673
554	2743	4670
555	2747	4665
556	2752	4659
557	2757	4654
558	2762	4649
559	2766	4643
560	2771	4638
561	2775	4633
562	2780	4627
563	2785	4621
564	2790	4618
565	2795	4612
566	2799	4607
567	2804	4602
568	2809	4597
569	2814	4591
570	2819	4587
571	2825	4583
572	2829	4577
573	2834	4572
574	2839	4567
575	2843	4561
576	2847	4555
577	2852	4550
578	2857	4545
579	2862	4540
580	2868	4536
581	2873	4531
582	2877	4525
583	2882	4520
584	2887	4517
585	2892	4511
586	2896	4505
587	2902	4501
588	2908	4498
589	2913	4493
590	2918	4488
591	2922	4483
592	2927	4477
593	2932	4472
594	2937	4467
595	2942	4462
596	2947	4458
597	2952	4453
598	2957	4448
599	2962	4443
600	2967	4438
601	2971	4432
602	2976	4427
603	2981	4423
604	2986	4418
605	2991	4413
606	2996	4409
607	3002	4404
608	3006	4398
609	3011	4393
610	3016	4389
611	3021	4383
612	3025	4378
613	3030	4373
614	3035	4368
615	3039	4362
616	3044	4357
617	3049	4352
618	3053	4346
619	3058	4341
620	3064	4338
621	3069	4333
622	3074	4328
623	3079	4323
624	3084	4317
625	3088	4312
