iter	RMSE
810	33088.80845
811	33073.46852
812	33059.85812
813	33051.76143
814	33040.75505
815	33031.5778
816	33015.25783
817	33006.26429
818	32996.90537
819	32985.91225
820	32972.28371
821	32962.34978
822	32950.36679
823	32937.24676
824	32930.08995
825	32919.06677
826	32908.36634
827	32898.59907
828	32884.66477
829	32875.8297
830	32859.94734
831	32850.2836
832	32840.93693
833	32826.70255
834	32819.22656
835	32804.78811
836	32796.18717
837	32789.65474
838	32779.704
839	32768.67633
840	32762.39153
841	32747.22863
842	32732.57795
843	32721.5393
844	32712.19066
845	32702.61271
846	32689.81523
847	32682.42694
848	32669.6488
849	32660.34706
850	32648.79566
851	32643.59154
852	32633.86693
853	32619.73617
854	32604.20521
855	32593.34628
856	32585.112
857	32574.26458
858	32564.36002
859	32551.59176
860	32542.44283
861	32530.54893
862	32518.81023
863	32507.2115
864	32497.66615
865	32489.89775
866	32469.58444
867	32462.64608
868	32452.62806
869	32448.07905
870	32430.06456
871	32422.34125
872	32411.00844
873	32401.68447
874	32388.92847
875	32380.2039
876	32372.05118
877	32362.26902
878	32354.69405
879	32347.84742
880	32340.94062
881	32333.72505
882	32325.56956
883	32316.859
884	32298.89134
885	32292.81859
886	32285.6001
887	32274.76093
888	32266.6021
889	32263.6748
890	32249.83304
891	32238.4724
892	32229.54229
893	32218.40843
894	32209.69006
895	32197.44845
896	32189.69264
897	32180.06109
898	32171.09054
899	32165.45238
900	32151.22576
901	32136.46452
902	32131.32774
903	32119.40607
904	32108.5258
905	32097.02914
906	32083.90795
907	32074.05458
908	32062.74488
909	32058.43997
910	32047.99225
911	32037.21723
912	32024.03186
913	32018.78021
914	32008.66231
915	31993.29564
916	31982.81689
917	31972.82139
918	31962.20685
919	31954.00758
920	31947.91237
921	31934.75411
922	31924.73205
923	31919.2118
924	31907.43686
925	31896.43272
926	31882.94987
927	31877.12636
928	31864.14183
929	31850.00628
930	31848.70096
931	31840.20952
932	31831.13465
933	31821.97642
934	31813.25771
935	31805.86135
936	31798.2895
937	31783.57469
938	31774.29332
939	31764.99972
940	31754.61021
941	31742.78726
942	31732.22357
943	31724.15663
944	31720.57716
945	31709.00382
946	31688.27919
947	31679.66676
948	31666.27954
949	31659.28642
950	31650.76416
951	31638.5388
952	31632.75895
953	31627.97534
954	31614.06338
955	31603.16731
956	31594.32994
957	31587.53029
958	31579.77489
959	31567.20936
960	31561.6793
961	31556.67342
962	31549.53963
963	31539.29689
964	31531.44155
965	31521.23718
966	31518.66985
967	31500.7813
968	31489.35282
969	31478.20055
970	31472.03577
971	31462.91056
972	31451.1417
973	31445.51524
974	31440.12656
975	31437.45139
976	31423.07168
977	31409.33298
978	31403.35001
979	31395.57395
980	31389.13318
981	31379.3579
982	31368.66015
983	31361.07181
984	31347.62467
985	31341.31566
986	31335.91372
987	31325.40245
988	31311.44057
989	31302.20839
990	31295.52121
991	31278.24036
992	31267.28115
993	31259.58257
994	31251.2113
995	31243.72496
996	31236.80507
997	31231.63568
998	31225.66804
999	31216.67699
